sample_id	Group	Study
SRR15462452	HC	PRJNA754261
SRR15462453	HC	PRJNA754261
SRR15462459	HC	PRJNA754261
SRR15462470	HC	PRJNA754261
SRR15462481	HC	PRJNA754261
SRR15462492	HC	PRJNA754261
SRR15462503	HC	PRJNA754261
SRR15462507	HC	PRJNA754261
SRR15462508	HC	PRJNA754261
SRR15462509	HC	PRJNA754261
SRR15462510	HC	PRJNA754261
SRR15462511	HC	PRJNA754261
SRR15462512	HC	PRJNA754261
SRR15462513	HC	PRJNA754261
SRR15462514	HC	PRJNA754261
SRR15462515	HC	PRJNA754261
SRR15462490	Gout	PRJNA754261
SRR15462491	Gout	PRJNA754261
SRR15462493	Gout	PRJNA754261
SRR15462494	Gout	PRJNA754261
SRR15462495	Gout	PRJNA754261
SRR15462496	Gout	PRJNA754261
SRR15462497	Gout	PRJNA754261
SRR15462498	Gout	PRJNA754261
SRR15462499	Gout	PRJNA754261
SRR15462500	Gout	PRJNA754261
SRR15462501	Gout	PRJNA754261
SRR15462502	Gout	PRJNA754261
SRR15462504	Gout	PRJNA754261
SRR15462505	Gout	PRJNA754261
SRR15462506	Gout	PRJNA754261
qiu_HUA1	HUA	FJTCM
qiu_HUA2	HUA	FJTCM
qiu_HUA3	HUA	FJTCM
qiu_HUA4	HUA	FJTCM
qiu_HUA5	HUA	FJTCM
qiu_HUA6	HUA	FJTCM
qiu_HUA7	HUA	FJTCM
qiu_HUA8	HUA	FJTCM
qiu_HUA9	HUA	FJTCM
qiu_HUA10	HUA	FJTCM
qiu_HUA11	HUA	FJTCM
qiu_HUA12	HUA	FJTCM
qiu_HUA13	HUA	FJTCM
qiu_HUA14	HUA	FJTCM
qiu_HUA15	HUA	FJTCM
qiu_HUA16	HUA	FJTCM
qiu_HUA17	HUA	FJTCM
qiu_HUA18	HUA	FJTCM
qiu_HUA19	HUA	FJTCM
qiu_HUA20	HUA	FJTCM
qiu_HUA21	HUA	FJTCM
qiu_HUA22	HUA	FJTCM
qiu_HUA23	HUA	FJTCM
qiu_HUA24	HUA	FJTCM
qiu_HUA25	HUA	FJTCM
qiu_HUA26	HUA	FJTCM
qiu_HUA27	HUA	FJTCM
qiu_HUA28	HUA	FJTCM
qiu_HUA29	HUA	FJTCM
qiu_HUA30	HUA	FJTCM
qiu_HUA31	HUA	FJTCM
qiu_HUA32	HUA	FJTCM
qiu_HUA33	HUA	FJTCM
qiu_HUA34	HUA	FJTCM
qiu_HUA35	HUA	FJTCM
qiu_HUA36	HUA	FJTCM
qiu_HUA37	HUA	FJTCM
qiu_HUA38	HUA	FJTCM
qiu_HUA39	HUA	FJTCM
qiu_HUA40	HUA	FJTCM
qiu_HUA41	HUA	FJTCM
qiu_HUA42	HUA	FJTCM
qiu_HUA43	HUA	FJTCM
qiu_HUA44	HUA	FJTCM
qiu_HUA45	HUA	FJTCM
qiu_HUA46	HUA	FJTCM
qiu_HUA47	HUA	FJTCM
qiu_HUA48	HUA	FJTCM
qiu_HUA49	HUA	FJTCM
qiu_HUA50	HUA	FJTCM
qiu_HUA51	HUA	FJTCM
qiu_HUA52	HUA	FJTCM
qiu_HUA53	HUA	FJTCM
qiu_HUA54	HUA	FJTCM
qiu_HUA55	HUA	FJTCM
qiu_HUA56	HUA	FJTCM
qiu_HUA57	HUA	FJTCM
qiu_HUA58	HUA	FJTCM
qiu_HUA59	HUA	FJTCM
qiu_HUA60	HUA	FJTCM
qiu_HUA61	HUA	FJTCM
qiu_HUA62	HUA	FJTCM
qiu_HUA63	HUA	FJTCM
qiu_HUA64	HUA	FJTCM
qiu_HUA65	HUA	FJTCM
CON1	HC	FJTCM
CON2	HC	FJTCM
CON3	HC	FJTCM
CON4	HC	FJTCM
CON5	HC	FJTCM
CON6	HC	FJTCM
CON7	HC	FJTCM
CON8	HC	FJTCM
CON9	HC	FJTCM
CON10	HC	FJTCM
CON11	HC	FJTCM
CON12	HC	FJTCM
CON13	HC	FJTCM
CON14	HC	FJTCM
CON15	HC	FJTCM
CON16	HC	FJTCM
CON17	HC	FJTCM
CON18	HC	FJTCM
CON19	HC	FJTCM
CON20	HC	FJTCM
CON21	HC	FJTCM
CON22	HC	FJTCM
CON23	HC	FJTCM
CON24	HC	FJTCM
CON25	HC	FJTCM
CON26	HC	FJTCM
CON28	HC	FJTCM
CON29	HC	FJTCM
CON30	HC	FJTCM
CON31	HC	FJTCM
CON32	HC	FJTCM
CON33	HC	FJTCM
CON34	HC	FJTCM
CON35	HC	FJTCM
CON36	HC	FJTCM
CON37	HC	FJTCM
CON38	HC	FJTCM
CON39	HC	FJTCM
CON40	HC	FJTCM
GA1	Gout	FJTCM
GA2	Gout	FJTCM
GA3	Gout	FJTCM
GA4	Gout	FJTCM
GA5	Gout	FJTCM
GA6	Gout	FJTCM
GA7	Gout	FJTCM
GA8	Gout	FJTCM
GA9	Gout	FJTCM
GA10	Gout	FJTCM
GA11	Gout	FJTCM
GA12	Gout	FJTCM
GA13	Gout	FJTCM
GA14	Gout	FJTCM
GA16	Gout	FJTCM
GA17	Gout	FJTCM
GA18	Gout	FJTCM
GA19	Gout	FJTCM
GA20	Gout	FJTCM
GA21	Gout	FJTCM
NC1	HC	FJTCM
NC2	HC	FJTCM
NC3	HC	FJTCM
NC4	HC	FJTCM
NC5	HC	FJTCM
NC6	HC	FJTCM
NC7	HC	FJTCM
NC8	HC	FJTCM
NC9	HC	FJTCM
NC10	HC	FJTCM
NC11	HC	FJTCM
NC12	HC	FJTCM
NC13	HC	FJTCM
NC14	HC	FJTCM
NC15	HC	FJTCM
NC16	HC	FJTCM
NC17	HC	FJTCM
NC18	HC	FJTCM
NC19	HC	FJTCM
NC21	HC	FJTCM
NC22	HC	FJTCM
zhang_HUA1	HUA	FJTCM
zhang_HUA2	HUA	FJTCM
zhang_HUA3	HUA	FJTCM
zhang_HUA4	HUA	FJTCM
zhang_HUA5	HUA	FJTCM
zhang_HUA6	HUA	FJTCM
zhang_HUA7	HUA	FJTCM
zhang_HUA8	HUA	FJTCM
zhang_HUA9	HUA	FJTCM
zhang_HUA10	HUA	FJTCM
zhang_HUA11	HUA	FJTCM
zhang_HUA12	HUA	FJTCM
zhang_HUA13	HUA	FJTCM
zhang_HUA14	HUA	FJTCM
zhang_HUA15	HUA	FJTCM
zhang_HUA16	HUA	FJTCM
zhang_HUA17	HUA	FJTCM
zhang_HUA18	HUA	FJTCM
zhang_HUA19	HUA	FJTCM
zhang_HUA20	HUA	FJTCM
zhang_HUA21	HUA	FJTCM
SRR21068189	HC	PRJNA869365
SRR21068190	HC	PRJNA869365
SRR21068191	HC	PRJNA869365
SRR21068192	HC	PRJNA869365
SRR21068193	HC	PRJNA869365
SRR21068194	HC	PRJNA869365
SRR21068196	HC	PRJNA869365
SRR21068197	HC	PRJNA869365
SRR21068198	HC	PRJNA869365
SRR21068199	HC	PRJNA869365
SRR21068200	HC	PRJNA869365
SRR21068201	HC	PRJNA869365
SRR21068202	HC	PRJNA869365
SRR21068203	HC	PRJNA869365
SRR21068204	HC	PRJNA869365
SRR21068205	HC	PRJNA869365
SRR21068207	HC	PRJNA869365
SRR21068208	HC	PRJNA869365
SRR21068209	HC	PRJNA869365
SRR21068210	HC	PRJNA869365
SRR21068211	HC	PRJNA869365
SRR21068212	HC	PRJNA869365
SRR21068213	HC	PRJNA869365
SRR21068214	HC	PRJNA869365
SRR21068215	HC	PRJNA869365
SRR21068216	HC	PRJNA869365
SRR21068218	HC	PRJNA869365
SRR21068219	HC	PRJNA869365
SRR21068220	HC	PRJNA869365
SRR21068221	HC	PRJNA869365
SRR21068222	HC	PRJNA869365
SRR21068223	HC	PRJNA869365
SRR21068224	HC	PRJNA869365
SRR21068225	HC	PRJNA869365
SRR21068226	HC	PRJNA869365
SRR21068227	HC	PRJNA869365
SRR21068228	HC	PRJNA869365
SRR21068229	HC	PRJNA869365
SRR21068230	HC	PRJNA869365
SRR21068335	HC	PRJNA869365
SRR21068336	HC	PRJNA869365
SRR21068337	HC	PRJNA869365
SRR21068338	HC	PRJNA869365
SRR21068339	HC	PRJNA869365
SRR21068340	HC	PRJNA869365
SRR21068341	HC	PRJNA869365
SRR21068342	HC	PRJNA869365
SRR21068344	HC	PRJNA869365
SRR21068345	HC	PRJNA869365
SRR21068346	HC	PRJNA869365
SRR21068347	HC	PRJNA869365
SRR21068348	HC	PRJNA869365
SRR21068349	HC	PRJNA869365
SRR21068350	HC	PRJNA869365
SRR21068351	HC	PRJNA869365
SRR21068352	HC	PRJNA869365
SRR21068353	HC	PRJNA869365
SRR21068257	HUA	PRJNA869365
SRR21068258	HUA	PRJNA869365
SRR21068259	HUA	PRJNA869365
SRR21068260	HUA	PRJNA869365
SRR21068261	HUA	PRJNA869365
SRR21068262	HUA	PRJNA869365
SRR21068263	HUA	PRJNA869365
SRR21068264	HUA	PRJNA869365
SRR21068265	HUA	PRJNA869365
SRR21068266	HUA	PRJNA869365
SRR21068268	HUA	PRJNA869365
SRR21068269	HUA	PRJNA869365
SRR21068270	HUA	PRJNA869365
SRR21068271	HUA	PRJNA869365
SRR21068272	HUA	PRJNA869365
SRR21068273	HUA	PRJNA869365
SRR21068274	HUA	PRJNA869365
SRR21068275	HUA	PRJNA869365
SRR21068276	HUA	PRJNA869365
SRR21068277	HUA	PRJNA869365
SRR21068279	HUA	PRJNA869365
SRR21068280	HUA	PRJNA869365
SRR21068281	HUA	PRJNA869365
SRR21068282	HUA	PRJNA869365
SRR21068283	HUA	PRJNA869365
SRR21068284	HUA	PRJNA869365
SRR21068285	HUA	PRJNA869365
SRR21068286	HUA	PRJNA869365
SRR21068287	HUA	PRJNA869365
SRR21068288	HUA	PRJNA869365
SRR21068312	HUA	PRJNA869365
SRR21068313	HUA	PRJNA869365
SRR21068314	HUA	PRJNA869365
SRR21068315	HUA	PRJNA869365
SRR21068316	HUA	PRJNA869365
SRR21068317	HUA	PRJNA869365
SRR21068318	HUA	PRJNA869365
SRR21068319	HUA	PRJNA869365
SRR21068322	HUA	PRJNA869365
SRR21068323	HUA	PRJNA869365
SRR21068324	HUA	PRJNA869365
SRR21068325	HUA	PRJNA869365
SRR21068326	HUA	PRJNA869365
SRR21068327	HUA	PRJNA869365
SRR21068328	HUA	PRJNA869365
SRR21068329	HUA	PRJNA869365
SRR21068330	HUA	PRJNA869365
SRR21068331	HUA	PRJNA869365
SRR21068333	HUA	PRJNA869365
SRR21068334	HUA	PRJNA869365
