genus	CON1	CON10	CON11	CON12	CON13	CON14	CON15	CON16	CON17	CON18	CON19	CON2	CON20	CON21	CON22	CON23	CON24	CON25	CON26	CON28	CON29	CON3	CON30	CON31	CON32	CON33	CON34	CON35	CON36	CON37	CON38	CON39	CON4	CON40	CON5	CON6	CON7	CON8	CON9	GA1	GA10	GA11	GA12	GA13	GA14	GA16	GA17	GA18	GA19	GA2	GA20	GA21	GA3	GA4	GA5	GA6	GA7	GA8	GA9	NC1	NC10	NC11	NC12	NC13	NC14	NC15	NC16	NC17	NC18	NC19	NC2	NC21	NC22	NC3	NC4	NC5	NC6	NC7	NC8	NC9	qiu_HUA1	qiu_HUA10	qiu_HUA11	qiu_HUA12	qiu_HUA13	qiu_HUA14	qiu_HUA15	qiu_HUA16	qiu_HUA17	qiu_HUA18	qiu_HUA19	qiu_HUA2	qiu_HUA20	qiu_HUA21	qiu_HUA22	qiu_HUA23	qiu_HUA24	qiu_HUA25	qiu_HUA26	qiu_HUA27	qiu_HUA28	qiu_HUA29	qiu_HUA3	qiu_HUA30	qiu_HUA31	qiu_HUA32	qiu_HUA33	qiu_HUA34	qiu_HUA35	qiu_HUA36	qiu_HUA37	qiu_HUA38	qiu_HUA39	qiu_HUA4	qiu_HUA40	qiu_HUA41	qiu_HUA42	qiu_HUA43	qiu_HUA44	qiu_HUA45	qiu_HUA46	qiu_HUA47	qiu_HUA48	qiu_HUA49	qiu_HUA5	qiu_HUA50	qiu_HUA51	qiu_HUA52	qiu_HUA53	qiu_HUA54	qiu_HUA55	qiu_HUA56	qiu_HUA57	qiu_HUA58	qiu_HUA59	qiu_HUA6	qiu_HUA60	qiu_HUA61	qiu_HUA62	qiu_HUA63	qiu_HUA64	qiu_HUA65	qiu_HUA7	qiu_HUA8	qiu_HUA9	zhang_HUA1	zhang_HUA10	zhang_HUA11	zhang_HUA12	zhang_HUA13	zhang_HUA14	zhang_HUA15	zhang_HUA16	zhang_HUA17	zhang_HUA18	zhang_HUA19	zhang_HUA2	zhang_HUA20	zhang_HUA21	zhang_HUA3	zhang_HUA4	zhang_HUA5	zhang_HUA6	zhang_HUA7	zhang_HUA8	zhang_HUA9	SRR9592437	SRR9592438	SRR9592439	SRR9592440	SRR9592441	SRR9592442	SRR9592443	SRR9592444	SRR9592445	SRR9592446	SRR9592447	SRR9592448	SRR9592449	SRR9592450	SRR9592451	SRR9592452	SRR9592453	SRR9592454	SRR9592455	SRR9592456	SRR9592457	SRR9592458	SRR9592459	SRR9592460	SRR9592461	SRR9592462	SRR9592463	SRR9592464	SRR9592465	SRR9592466	SRR9592467	SRR9592468	SRR9592469	SRR9592470	SRR9592471	SRR9592472	SRR9592473	SRR9592474	SRR9592475	SRR9592476	SRR9592477	SRR9592478	SRR9592479	SRR9592481	SRR9592482	SRR9592607	SRR9592608	SRR9592609	SRR9592610	SRR9592611	SRR9592612	SRR9592613	SRR9592614	SRR9592615	SRR9592616	SRR9595012	SRR9595013	SRR9595014	SRR9595015	SRR9595016	SRR9595017	SRR9595018	SRR9595019	SRR15462451	SRR15462452	SRR15462453	SRR15462459	SRR15462470	SRR15462481	SRR15462490	SRR15462491	SRR15462492	SRR15462493	SRR15462494	SRR15462495	SRR15462496	SRR15462497	SRR15462498	SRR15462499	SRR15462500	SRR15462501	SRR15462502	SRR15462503	SRR15462504	SRR15462505	SRR15462506	SRR15462507	SRR15462508	SRR15462509	SRR15462510	SRR15462511	SRR15462512	SRR15462513	SRR15462514	SRR15462515	SRR21068189	SRR21068190	SRR21068191	SRR21068192	SRR21068193	SRR21068194	SRR21068196	SRR21068197	SRR21068198	SRR21068199	SRR21068200	SRR21068201	SRR21068202	SRR21068203	SRR21068204	SRR21068205	SRR21068207	SRR21068208	SRR21068209	SRR21068210	SRR21068211	SRR21068212	SRR21068213	SRR21068214	SRR21068215	SRR21068216	SRR21068218	SRR21068219	SRR21068220	SRR21068221	SRR21068222	SRR21068223	SRR21068224	SRR21068225	SRR21068226	SRR21068227	SRR21068228	SRR21068229	SRR21068230	SRR21068257	SRR21068258	SRR21068259	SRR21068260	SRR21068261	SRR21068262	SRR21068263	SRR21068264	SRR21068265	SRR21068266	SRR21068268	SRR21068269	SRR21068270	SRR21068271	SRR21068272	SRR21068273	SRR21068274	SRR21068275	SRR21068276	SRR21068277	SRR21068279	SRR21068280	SRR21068281	SRR21068282	SRR21068283	SRR21068284	SRR21068285	SRR21068286	SRR21068287	SRR21068288	SRR21068312	SRR21068313	SRR21068314	SRR21068315	SRR21068316	SRR21068317	SRR21068318	SRR21068319	SRR21068322	SRR21068323	SRR21068324	SRR21068325	SRR21068326	SRR21068327	SRR21068328	SRR21068329	SRR21068330	SRR21068331	SRR21068333	SRR21068334	SRR21068335	SRR21068336	SRR21068337	SRR21068338	SRR21068339	SRR21068340	SRR21068341	SRR21068342	SRR21068344	SRR21068345	SRR21068346	SRR21068347	SRR21068348	SRR21068349	SRR21068350	SRR21068351	SRR21068352	SRR21068353
g__[Ruminococcus]_gnavus_group	32	207	15	65	292	5252	0	0	599	195	0	79	473	50	332	0	349	366	159	178	2061	0	0	1117	24	1875	589	0	589	142	369	310	189	0	0	42	7	37	0	118	2535	438	0	76	0	0	209	76	0	0	2396	0	102	565	0	478	0	2327	33	50	0	107	922	2	438	1249	2	189	4493	352	207	2	399	2	2	53	480	57	2	122	1	51	35	334	662	190	82	221	1	112	1	1	1668	2379	1	0	637	89	1459	1201	11438	104	20714	703	0	10	305	6266	0	7440	7781	283	3584	150	1069	17	3104	748	8037	27	1641	683	158	16	137	197	47	0	1658	61	5290	157	125	0	162	1774	2133	4261	47	73	15	438	1552	10	132	0	59	0	202	25708	0	0	607	12	528	628	22	571	83	17873	731	2382	354	1152	353	430	0	82	0	0	72	414	61	0	1100	220	2129	105	334	0	467	168	179	0	0	199	54	353	332	131	0	32	342	22	218	174	0	0	72	0	0	0	112	205	222	43	0	2535	344	447	0	0	22	42	2119	589	130	0	102	594	127	0	369	0	590	56	256	0	304	23	53	0	0	80	0	16	2975	486	0	437	1359	650	530	133	20	263	295	164	292	231	46	29	0	449	0	47	0	38	0	107	0	121	121	121	538	121	121	121	121	121	121	121	121	121	6011	121	121	121	121	121	121	121	121	121	594	121	121	6011	121	467	121	121	121	121	121	121	121	121	1358	121	2975	121	2975	121	121	4493	121	121	121	121	2382	1603	121	121	121	121	121	121	86	437	86	86	1552	86	7317	86	608	86	817	86	86	86	86	86	508	1641	1384	86	1157	86	86	1506	676	571	86	1658	636	86	3264	1961	86	86	86	86	437	4776	86	86	86	86	86	86	86	86	86	529	86	86
g__[Ruminococcus]_torques_group	28	224	459	798	149	0	66	85	843	0	381	7	3953	0	276	196	1885	1028	120	3953	0	254	560	37	405	5295	1013	13	5295	1013	0	0	589	23	0	438	350	2916	1739	598	408	0	222	74	0	4908	1990	7	164	0	0	0	213	215	118	0	399	34	24	0	59	4954	49	277	1311	0	0	3747	0	3953	359	102	70	404	39	0	0	2	91	121	23	321	659	19	5169	449	1599	223	784	1013	0	279	0	2145	70	1600	14857	159	579	0	0	717	995	5666	410	582	7429	2107	2394	0	4121	3023	635	15	2354	1164	933	2118	0	253	4970	101	7473	686	548	17285	152	2006	19030	530	13961	80	5198	154	2652	1413	775	5845	44	1150	382	796	745	7207	2523	146	24	4770	1337	1888	19	68	41	0	2796	530	1224	1693	115	21	996	0	2141	0	69	3953	0	20	142	59	207	116	254	0	828	0	0	0	30	0	0	69	405	0	0	120	276	1211	261	103	52	90	0	0	0	243	0	560	873	296	0	399	34	366	523	4954	417	0	5295	1013	14	23	445	235	0	128	49	334	0	91	0	599	0	402	67	203	0	309	9	90	106	300	101	93	149	29	379	0	557	1629	0	160	0	202	53	325	0	53	0	0	342	183	11	69	68	117	24	54	143	0	253	551	3334	268	3953	0	197	130	98	0	996	1430	3953	246	0	1224	850	2180	498	358	0	70	392	3953	90	29	405	52	828	1044	443	1689	975	3953	1891	3953	798	90	599	3953	560	0	3953	130	91	3953	102	0	299	0	599	0	0	1629	37	0	0	20	0	0	7	0	0	165	1914	0	24	81	0	54	192	165	550	138	54	580	118	265	348	0	26	0	80	386	31	0	68	325	206	765	309	253	17	21	61	2640	339	6214	53	101	508	617	0	0	152	686	1194	1337
g__Acinetobacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	514	0	0	0	120	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	115	49	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	40	0	0	0	0	0	34	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	3	0	0	0	0	23	0	8	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	337	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62	0	0	0	0	0	0	10	0	0	5	0	0	0	0	0	0	0	0	0	0	0	2023	0	0	0	0
g__Actinomyces	0	2	47	0	0	0	20	81	0	0	0	15	55	30	81	0	0	169	39	51	10	18	0	355	0	24	0	0	0	401	31	0	0	0	0	0	0	0	0	0	0	0	0	0	61	15	0	0	0	202	0	0	0	0	0	0	0	0	4	0	0	0	0	0	419	35	0	14	0	0	0	20	0	0	0	0	0	0	0	50	0	29	0	0	0	116	0	0	0	5	19	0	0	45	0	15	366	28	252	154	76	89	117	103	13	81	26	126	79	7	57	55	577	27	73	155	63	777	42	30	98	54	91	43	71	187	38	58	21	34	91	769	83	65	128	156	122	22	10	33	29	67	48	50	123	6	23	11	27	16	15	7	11	37	30	2	61	82	27	4	0	53	53	25	15	281	0	0	0	0	0	0	0	0	0	0	0	73	307	33	25	0	45	0	0	0	58	0	39	0	480	10	20	357	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	26	29	34	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	9	11	0	0	9	307	53	66	9	9	72	53	242	281	204	9	9	9	9	9	57	204	9	9	9	9	9	133	53	170	81	9	9	9	50	9	9	9	9	9	9	9	53	357	9	9	9	9	9	9	9	440	9	9	357	9	69	9	9	9	9	48	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	173	89	9	9	9	89	81	9	9	9	9	9	9	201	76	9	9	9	9	59	48	9	70	9	9	9	9	9	9	577	9	9	59
g__Agathobacter	6059	3455	1025	2323	374	0	0	0	67	216	174	0	0	654	124	139	0	4111	0	0	0	3215	28	0	225	0	670	40	0	51	1674	2671	60	0	0	0	2191	34	1663	0	2533	0	1115	1369	0	198	5560	104	27	0	1161	17	345	51	844	2251	7	0	645	48	0	622	0	23	0	0	193	237	0	1066	0	630	0	0	0	2798	0	0	113	842	51	0	1822	2816	41	2404	0	20	51	821	5060	544	1993	0	158	6638	1471	0	1340	15	11	333	1216	812	973	452	1303	5450	1349	0	0	7555	0	0	0	5367	813	97	0	37	0	97	1674	4617	536	2449	274	6624	1009	4828	0	0	171	272	1312	748	186	325	863	68	1312	0	0	0	106	270	0	1864	40	604	3153	1192	0	0	7381	0	1147	1031	6876	0	0	0	165	0	1007	2272	5859	0	3692	5156	54	0	0	31	0	1389	0	0	139	0	0	988	791	0	0	0	0	1049	211	0	18	543	0	0	0	0	0	3215	671	2448	0	0	622	0	13	237	2251	198	648	117	0	0	2391	40	27	0	51	1347	63	25	24	0	0	558	0	88	0	2312	0	0	0	628	119	0	0	58	0	24	225	298	153	0	0	108	78	764	0	0	0	0	34	365	208	0	734	310	274	873	67	0	0	165	0	0	0	225	3934	5859	109	30	178	680	1393	3336	0	671	67	207	24	0	225	42	7362	211	0	1697	298	0	3374	0	0	4481	650	0	0	553	0	0	0	951	5859	204	0	988	0	0	269	0	1328	0	1144	760	2329	716	0	5508	4	56	721	2129	0	0	0	784	5408	9	0	12	0	1572	272	0	193	0	0	32	2756	0	0	982	0	0	0	0	270	0	0	4514	0	1471	337	466	0	1296	106	0	97	0	38	159	0	739	613	1170	0	79	0	66
g__Akkermansia	172	0	0	0	0	0	0	0	0	0	100	0	100	0	0	87	0	0	0	0	0	34	0	0	0	0	0	0	56	0	0	0	0	40	66	14	6	0	0	0	0	0	681	0	0	6	0	0	0	0	0	0	0	0	0	0	2291	0	0	69	0	0	0	0	0	0	0	0	0	0	0	95	0	0	23	0	0	0	0	0	0	0	72	0	196	1847	0	0	0	0	0	0	30	0	4	0	0	1073	0	0	0	0	40	0	0	4	9	0	6	0	0	0	12	0	0	1347	46	0	0	0	0	54	0	10	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	3	8370	0	0	0	0	2	0	0	0	225	102	1194	0	3	0	79	6	0	0	6	27	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59	0	0	37	0	0	0	0	0	0	0	0	0	737	20	0	0	0	0	0	0	0	0	0	0	95	56	0	0	0	0	0	0	0	0	0	0	100	0	0	45	460	122	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	3	0	0	0	80	0	0	0	0	276	291	0	0	27	6	0	0	0	0	0	100	0	0	5	1	0	0	0	0	4	100	0	0	122	0	0	59	0	0	76	0	0	0	0	0	19	0	138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	5216	0	0	0	0	91	0	0	0	1194	0	0	0	12	0	0	9	0	225	0	10	0	0	6	0
g__Alistipes	1544	8	33	1001	0	0	1464	3053	5032	3	6837	95	637	182	39	485	0	303	7	819	0	9966	742	0	0	132	3369	437	39	0	0	0	1526	132	2028	651	219	132	39	86	0	0	90	132	0	0	12	132	651	0	0	8	38	52	25	0	556	39	86	8113	37	330	26	1717	18	0	66	33	0	0	0	1088	0	505	625	317	6	43	89	10	0	1140	8113	0	3369	436	86	252	588	2038	45	86	0	153	132	616	0	3366	600	0	0	4342	416	17	1006	222	6324	10572	2575	148	12	2033	198	591	2527	8363	926	60	843	816	1171	6604	1859	20172	9912	8803	9610	6606	1379	842	690	67	119	6606	6271	372	775	18	4915	4301	51	31995	6071	4	951	6356	6881	2263	17146	4	921	1664	186	18	5274	0	3066	1760	584	455	984	1455	4678	0	6814	10341	95	0	67	518	39	308	32	269	257	0	0	39	7	0	0	0	6	0	0	82	10	64	0	7	15	14	47	0	0	192	0	43	383	461	236	39	0	0	0	330	26	0	0	0	8	37	86	34	132	0	0	651	41	90	10	0	0	191	0	4	29	151	6	1544	49	1275	73	375	778	0	93	474	329	1834	523	1328	805	2353	1958	195	0	22	30	88	862	109	883	108	1288	1171	398	355	746	0	928	760	36	326	1544	6814	1834	1	1	75	11	1012	4678	4678	738	415	1440	760	132	11	238	645	4678	606	776	75	1305	632	10187	1514	632	2012	3553	1544	326	517	1	4678	1	474	1	238	9025	10341	898	5916	1645	10341	36	517	1953	1	9182	1	1	5926	6232	947	828	1	511	1	1	1	1	1247	1	574	11	1	931	1925	1	1	108	141	17	68	113	372	1683	1	52	441	74	15	59	141	18	1	123	1	396	6413	1	23	186	1	82	66	303	588	94	169	1	37	198	23
g__Allisonella	0	0	0	819	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	200	0	2	0	0	0	0	0	0	0	0	0	0	88	10	0	0	0	0	0	0	0	0	3935	194	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	421	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	742	1	98	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	209	0	1762	0	783	0	0	0	0	0	0	0	223	0	0	0	5112	0	365	0	0	1096	0	0	0	0	225	0	20	407	0	0	75	173	0	92	0	0	98	0	0	0	0	2205	0	0	56	761	0	225	47	0	0	0	42	8	0	673	0	0	0	279	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	217	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	110	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	0	64	0	0	8	0	0	0	0	16	0	0	0	17	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	109	0	0	0	0	34	0	9	886	0	0	58	0	1720	0	702	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	267	0	0	0	0	267	0	0	0	0	0	0	0	0	0	0	0	0	1738	0	0	0	0	0	0	0	0	0	0	0	0	896	0	0	0	85	0	0	121	316	0	0	0	0	0	0	0	0	0	0	173	39	85	0	0	0	0	8	0	39	0	0	0	229	0	0	0	0	0
g__Alloprevotella	0	0	17	0	0	0	459	11403	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	3	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56430	0	0	0	0	0	12	0	0	0	0	0	9	0	0	0	0	0	0	0	13787	41	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	2	0	63355	22	0	4	0	0	0	0	13	20052	0	0	0	0	0	0	0	0	0	0	0	0	5	5501	0	0	0	28	0	0	0	2	4	0	0	13	63221	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	3500	0	238	0	0	0	0	0	0	22	0	0	0	438	0	0	0	0	0	0	0	0	0	0	53	0	0	0	291	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	12	0	0	0	0	0	0	0	469	0	0	0	0	169	0	0	0	0	0	0	3	0	2208	0	0	0	2428	0	0	0	0	6112	0	0	0	0	0	0	0	0	85	0	0	23929	0	0	9	0	4	0	0	0	438	0	0	0	0	0	0	0	0	0	0	1292	0	0	0	0	0	28092	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	26	0	0	0	219	0	0	522	0	0	0	0	0	0	0	0	0	17	0	0	6280	116	0	0	6	0	0	0	28	0	0	0	0	0	1	0	0	10
g__Anaerostignum	11	0	0	10	0	87	0	0	15	10	0	0	15	0	3	35	58	67	11	49	50	0	0	37	0	0	0	0	309	0	4	0	0	0	0	0	0	14	0	0	34	50	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	73	0	18	0	0	3	0	11	27	0	11	0	0	0	4	83	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	217	0	14	0	0	0	0	21	0	0	0	12	0	4	331	0	106	0	0	14	0	78	0	0	114	0	10	7	0	40	0	0	0	0	228	0	7	0	0	0	0	89	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	61	0	0	0	0	0	14	0	0	6	0	0	46	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	76	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Anaerostipes	21	168	0	44	482	108	0	0	33	4643	0	0	16	0	126	0	224	759	770	284	0	56	119	0	71	248	15	18	347	5267	24	13	71	13	18	20	17	3	13	135	555	18	555	7	0	20	94	524	0	0	24	0	0	3	201	0	0	0	0	0	0	0	83	17	1275	0	0	99	3	180	0	24	40	0	121	0	153	12	0	33	0	2	537	28	332	76	507	0	13	4550	12	16	191	0	0	22	6492	533	1055	1815	29	0	1065	1454	222	15	622	1652	93	0	193	1237	0	222	9	158	259	228	12	4	11	0	46	1364	56	965	224	33	1254	91	3111	249	8559	5	533	158	6	266	39	119	78	275	7	22	4	728	476	29	425	94	17	15	0	0	876	327	1283	561	688	62	4306	222	0	192	144	36	0	0	0	38	0	0	0	0	42	0	0	0	85	16	10612	759	47	0	0	0	125	96	42	216	13	109	12	0	0	0	0	259	0	0	0	103	379	278	515	18	248	89	555	226	71	0	0	17	13	68	89	0	0	0	43	0	62	9	36	32	119	20	0	101	10	0	126	0	0	0	0	0	0	0	101	0	0	0	0	40	0	0	0	58	20	0	20	74	85	36	0	0	11	0	0	952	0	0	0	0	0	12	0	13	5	184	0	125	365	279	1216	62	469	17	0	0	736	1651	1466	94	12	126	17	0	5944	0	0	0	11	35	0	0	0	0	775	0	30	41	117	0	107	645	3573	45	235	42	0	151	9	596	0	0	0	0	0	0	0	37	1149	0	0	185	1992	307	9	94	387	27	21	512	275	37	282	52	64	106	15	30	0	40	0	15	100	664	0	45	0	224	0	168	0	255	0	80	255	0	129	0	92	7526	231	6
g__Anaerotruncus	0	0	10	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	20	0	0	0	0	55	0	0	0	0	0	0	0	0	0	8	0	0	128	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	14	0	70	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	1	0	0	0	0	14	0	30	4	3	0	0	1	0	10	4	0	0	0	0	17	9	0	0	0	3	24	6	4	0	0	0	0	8	4	3	0	2	7	34	10	0	67	0	3	0	6	0	0	0	8	0	0	204	3	10	0	0	7	9	5	0	2	0	0	0	46	0	14	0	0	18	16	0	39	0	0	131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	3	0	0	0	21	0	0	0	0	0	0	15	0	25	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	9	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	158	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5
g__Atopobium	0	0	46	0	0	152	11	0	0	0	0	46	25	0	0	0	0	32	0	0	0	0	22	3	0	129	0	0	8	35	0	27	0	0	0	0	0	0	0	0	28	0	0	0	25	0	0	0	10	0	0	0	0	0	0	0	0	10	19	0	0	2	0	0	26	1	0	1	0	25	0	22	0	0	0	0	12	0	38	12	0	36	0	0	0	129	0	0	0	0	0	0	0	0	0	4	100	10	39	5	4	0	18	27	6	0	11	0	12	0	11	5	6	0	18	16	0	42	14	7	4	0	0	0	8	10	26	13	0	18	0	5	16	7	0	11	21	5	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	11	5	0	0	4	0	0	9	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	202	24	0	33	10	0	26	5	0	0	0	0	0	0	0	20	29	0	0	0	0	0	0	112	0	62	0	27	43	0	0	145	30	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	5	5	5	5	5	5	5	5	174	5	5	5	5	5	5	5	5	39	5	5	5	5	5	58	5	91	5	5	5	5	5	5	5	5	5	5	5	5	5	5	91	5	5	5	5	5	5	145	5	5	5	5	39	5	5	5	5	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	100	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
g__Bacteroides	54438	37477	463	9177	54438	54438	1659	2520	128304	19216	2355	60089	24135	9676	84743	660	80768	34269	54438	62123	55199	3734	29337	35665	92104	48576	4981	851	11474	716	1339	11474	13689	324	6469	851	4007	6469	117500	4258	84518	7408	716	2932	202	202	3931	2932	716	6634	851	202	2932	851	3598	231	418	851	231	2932	231	418	851	15097	2624	13358	101	34601	380	34344	27695	3561	54819	9184	1710	5606	7401	9754	60635	11564	6689	6469	387	16632	6897	80804	108221	497	3931	14772	851	231	12160	11474	231	137432	6386	174867	108483	383581	202420	36066	52285	102353	34860	31936	117264	255977	159685	137646	162549	121926	186380	100869	135985	221493	118505	160955	128787	10337	227329	253414	114475	120540	221891	143208	139449	71181	160962	211004	151061	44391	115552	8014	96194	140889	122416	92043	92842	151240	16714	49353	149738	145375	58670	96622	103084	32017	61750	43247	4556	7280	240885	117143	57758	7300	15693	60009	124902	96282	54438	119485	19216	52202	131244	18596	2344	192	480	7624	2355	3594	212	1894	4574	11654	15703	9706	1437	81	2485	1479	4211	248	429	1181	2618	1986	1766	3323	516	1933	9276	19	1749	787	19	546	2702	6469	3931	16632	851	11474	7789	4981	4236	14772	418	8013	716	202	2932	1339	11885	883	231	4266	4358	3444	2118	3827	5454	1364	13517	1828	5068	1145	521	9019	3260	7150	16349	12592	3781	2590	14498	10238	3790	9616	14369	15752	12942	3350	13991	9248	19061	16160	13263	2908	3351	7844	4948	7329	11105	7967	4432	12039	10252	22232	6732	87540	35015	131244	125364	131244	55009	33672	8565	55580	9398	54438	54438	61460	14498	7196	35665	54438	33672	7116	54438	30212	35015	6566	58840	13715	99895	43934	54438	60089	12731	52202	54438	53320	10234	11944	30212	55009	54438	14334	54438	22429	60089	54438	60089	131244	63243	80047	54438	54438	35782	37269	81490	55596	119485	119485	54438	16701	6386	7006	10301	2326	37560	4948	4432	12641	3351	6732	3351	6732	7280	19806	4948	2908	4432	21937	7300	3350	8396	4556	6732	28709	7280	17564	6386	11540	7637	7300	6386	3350	11105	14626	10749	15990	4556	4948	3351	2908	3350	4432	4752	7280	4556	6386	2326	10136	4432	3350
